,Player_ID,goals,minutes_played,Appearances,goals_90,goals_game
495,75238,0,1793,21,inf,0.0
496,75287,2,534,17,267.0,0.11764705882352941
497,75442,3,1236,29,412.0,0.10344827586206896
498,75446,4,3108,54,777.0,0.07407407407407407
499,75820,0,347,6,inf,0.0
500,76032,0,35,2,inf,0.0
501,76061,1,4411,70,4411.0,0.014285714285714285
502,76076,0,1440,16,inf,0.0
503,76163,18,7462,140,414.55555555555554,0.12857142857142856
504,76273,8,9832,144,1229.0,0.05555555555555555
505,76285,0,315,4,inf,0.0
506,76467,0,2794,31,inf,0.0
507,76699,0,1946,23,inf,0.0
508,76746,4,19729,230,4932.25,0.017391304347826087
509,77026,6,8168,93,1361.3333333333333,0.06451612903225806
510,77262,2,5429,67,2714.5,0.029850746268656716
511,77707,4,3931,59,982.75,0.06779661016949153
512,77737,2,3221,43,1610.5,0.046511627906976744
513,77826,3,2619,47,873.0,0.06382978723404255
514,77932,0,55,4,inf,0.0
515,79352,0,671,30,inf,0.0
516,79422,0,9360,104,inf,0.0
517,79470,0,293,5,inf,0.0
518,79642,1,1128,25,1128.0,0.04
519,79893,0,78,4,inf,0.0
520,80293,8,14660,169,1832.5,0.047337278106508875
521,80444,16,4483,76,280.1875,0.21052631578947367
522,81532,15,8411,107,560.7333333333333,0.14018691588785046
523,81743,0,1456,24,inf,0.0
524,81796,0,8,1,inf,0.0
525,81988,34,12447,187,366.0882352941176,0.18181818181818182
526,81998,0,894,19,inf,0.0
527,81999,44,10381,130,235.9318181818182,0.3384615384615385
528,82048,14,2792,53,199.42857142857142,0.2641509433962264
529,82503,3,5797,68,1932.3333333333333,0.04411764705882353
530,83368,0,767,11,inf,0.0
531,83895,1,2626,40,2626.0,0.025
532,84085,1,4288,52,4288.0,0.019230769230769232
533,85258,1,15030,187,15030.0,0.0053475935828877
534,85288,29,11481,214,395.8965517241379,0.13551401869158877
535,85289,0,4816,56,inf,0.0
536,85295,1,3688,35,3688.0,0.02857142857142857
537,85324,25,5005,83,200.2,0.30120481927710846
538,85357,0,58,4,inf,0.0
539,85370,6,12904,188,2150.6666666666665,0.031914893617021274
540,85372,0,1872,28,inf,0.0
541,85383,14,6498,131,464.14285714285717,0.10687022900763359
542,85500,1,234,10,234.0,0.1
543,86175,1,286,4,286.0,0.25
544,87469,3,10441,137,3480.3333333333335,0.021897810218978103
545,88103,29,5411,85,186.58620689655172,0.3411764705882353
546,88490,11,8853,144,804.8181818181819,0.0763888888888889
547,88590,7,6315,75,902.1428571428571,0.09333333333333334
548,89297,1,4071,58,4071.0,0.017241379310344827
549,89313,2,7354,91,3677.0,0.02197802197802198
550,89318,0,1165,15,inf,0.0
551,89473,3,3436,45,1145.3333333333333,0.06666666666666667
552,89618,0,3330,37,inf,0.0
553,89650,0,670,14,inf,0.0
554,89726,0,286,4,inf,0.0
555,89733,7,4332,62,618.8571428571429,0.11290322580645161
556,90024,2,788,25,394.0,0.08
557,90451,0,3458,53,inf,0.0
558,90660,0,526,14,inf,0.0
559,90681,2,3640,45,1820.0,0.044444444444444446
560,91763,8,7380,118,922.5,0.06779661016949153
561,91849,2,1701,26,850.5,0.07692307692307693
562,91885,0,630,7,inf,0.0
563,91931,0,270,3,inf,0.0
564,92813,0,287,5,inf,0.0
565,92947,2,15704,196,7852.0,0.01020408163265306
566,93142,0,2726,41,inf,0.0
567,93330,0,1807,21,inf,0.0
568,93759,0,1310,16,inf,0.0
569,93795,3,1064,38,354.6666666666667,0.07894736842105263
570,93935,7,12621,166,1803.0,0.04216867469879518
571,93936,41,12132,186,295.9024390243902,0.22043010752688172
572,94304,1,2004,26,2004.0,0.038461538461538464
573,94308,1,12256,136,12256.0,0.007352941176470588
574,94414,0,312,6,inf,0.0
575,94783,0,2203,26,inf,0.0
576,94807,0,917,11,inf,0.0
577,95438,5,1447,25,289.4,0.2
578,95480,1,1396,18,1396.0,0.05555555555555555
579,95483,1,1319,22,1319.0,0.045454545454545456
580,95641,6,10213,154,1702.1666666666667,0.03896103896103896
581,95732,17,5408,87,318.11764705882354,0.19540229885057472
582,95736,0,2520,28,inf,0.0
583,95810,0,5436,68,inf,0.0
584,95963,7,7231,94,1033.0,0.07446808510638298
585,96454,0,671,12,inf,0.0
586,96533,23,4513,63,196.2173913043478,0.36507936507936506
587,96540,0,248,5,inf,0.0
588,96718,7,16359,207,2337.0,0.033816425120772944
589,96828,19,3454,53,181.78947368421052,0.3584905660377358
590,98249,16,11358,166,709.875,0.0963855421686747
591,98322,12,7737,158,644.75,0.0759493670886076
592,98512,0,481,13,inf,0.0
593,98596,17,4828,130,284.0,0.13076923076923078
594,99349,0,27,1,inf,0.0
595,99352,3,6713,105,2237.6666666666665,0.02857142857142857
596,99353,36,12229,180,339.69444444444446,0.2
597,99355,1,3466,50,3466.0,0.02
598,99499,1,319,13,319.0,0.07692307692307693
599,99559,2,2325,45,1162.5,0.044444444444444446
600,99922,9,12099,148,1344.3333333333333,0.060810810810810814
601,99924,0,732,11,inf,0.0
602,100131,4,6751,103,1687.75,0.038834951456310676
