,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_90,goals_assists_per_game
831,175914,0,0,44,4,0.0,0.0
832,175921,2,1,1032,21,0.2616279069767442,0.14285714285714285
833,176067,3,2,675,24,0.6666666666666666,0.20833333333333334
834,176133,1,0,1567,35,0.0574345883854499,0.02857142857142857
835,176140,5,0,7047,79,0.06385696040868455,0.06329113924050633
836,176285,6,4,3976,64,0.22635814889336014,0.15625
837,176553,5,3,9749,111,0.07385372858754743,0.07207207207207207
838,176591,0,2,2304,41,0.078125,0.04878048780487805
839,176936,0,0,1350,15,0.0,0.0
840,177046,1,13,15713,189,0.08018837904919493,0.07407407407407407
841,177065,23,6,6221,91,0.41954669667256067,0.31868131868131866
842,177452,3,0,943,43,0.2863202545068929,0.06976744186046512
843,177467,103,28,19543,253,0.6032850637056747,0.5177865612648221
844,177847,15,15,6632,132,0.4071170084439083,0.22727272727272727
845,177862,1,2,1503,24,0.17964071856287425,0.125
846,178107,4,3,1290,30,0.4883720930232558,0.23333333333333334
847,178187,3,2,2298,49,0.195822454308094,0.10204081632653061
848,178314,0,0,696,10,0.0,0.0
849,178425,2,8,21768,261,0.04134509371554576,0.038314176245210725
850,179184,1,0,519,15,0.17341040462427745,0.06666666666666667
851,181112,0,1,1443,25,0.062370062370062374,0.04
852,181477,4,4,1969,36,0.3656678517013712,0.2222222222222222
853,181619,0,0,171,3,0.0,0.0
854,182381,2,4,1569,33,0.3441682600382409,0.18181818181818182
855,182579,1,2,2006,29,0.1345962113659023,0.10344827586206896
856,182581,1,1,936,17,0.19230769230769232,0.11764705882352941
857,182712,2,8,5151,74,0.17472335468841002,0.13513513513513514
858,182877,0,1,495,9,0.18181818181818182,0.1111111111111111
859,182904,7,4,12015,157,0.08239700374531836,0.07006369426751592
860,182963,0,3,1751,31,0.15419760137064534,0.0967741935483871
861,183647,3,6,14293,163,0.05667109774015252,0.05521472392638037
862,184672,12,5,5358,106,0.2855543113101904,0.16037735849056603
863,184767,3,5,13184,162,0.05461165048543689,0.04938271604938271
864,184779,0,2,4359,52,0.04129387474191328,0.038461538461538464
865,185245,4,0,1410,26,0.2553191489361702,0.15384615384615385
866,185570,1,0,387,10,0.23255813953488372,0.1
867,185593,0,0,153,8,0.0,0.0
868,186399,2,2,1135,31,0.31718061674008813,0.12903225806451613
869,186862,3,2,8221,95,0.05473786643960588,0.05263157894736842
870,186891,0,0,971,15,0.0,0.0
871,186997,2,0,386,12,0.46632124352331605,0.16666666666666666
872,187530,0,0,93,2,0.0,0.0
873,187896,0,0,218,5,0.0,0.0
874,188157,0,1,2765,54,0.0325497287522604,0.018518518518518517
875,188651,0,0,159,11,0.0,0.0
876,188838,2,1,10267,126,0.02629784747248466,0.023809523809523808
877,188853,0,0,421,11,0.0,0.0
878,188854,20,22,18116,258,0.20865533230293665,0.16279069767441862
879,189441,25,11,7664,97,0.42275574112734865,0.3711340206185567
880,189452,0,0,2347,34,0.0,0.0
881,189453,4,8,5708,72,0.18920812894183603,0.16666666666666666
882,189458,4,3,4602,56,0.13689700130378096,0.125
883,191217,0,2,2100,23,0.08571428571428572,0.08695652173913043
884,192009,6,5,6915,127,0.14316702819956614,0.08661417322834646
885,192279,0,0,4716,53,0.0,0.0
886,192735,0,1,6945,86,0.012958963282937365,0.011627906976744186
887,192736,6,1,2304,62,0.2734375,0.11290322580645161
888,193098,6,15,10596,131,0.17836919592298978,0.16030534351145037
889,193153,0,0,26,2,0.0,0.0
890,193515,7,1,3110,47,0.2315112540192926,0.1702127659574468
891,193593,0,0,267,5,0.0,0.0
892,193784,1,5,8266,102,0.06532784902008226,0.058823529411764705
893,193938,5,0,2451,41,0.1835985312117503,0.12195121951219512
894,195171,12,14,8698,125,0.2690273626120947,0.208
895,195332,0,0,33,1,0.0,0.0
896,195488,0,0,720,8,0.0,0.0
897,195605,3,0,1623,29,0.16635859519408502,0.10344827586206896
898,196435,0,1,1224,19,0.07352941176470588,0.05263157894736842
899,197122,1,0,5565,65,0.016172506738544475,0.015384615384615385
900,197126,10,2,2472,68,0.4368932038834951,0.17647058823529413
901,197135,2,10,13470,172,0.0801781737193764,0.06976744186046512
902,197545,10,16,16986,223,0.1377605086541858,0.11659192825112108
903,197602,0,0,1079,15,0.0,0.0
904,198006,0,1,1569,25,0.05736137667304015,0.04
905,198008,9,2,2164,27,0.45748613678373384,0.4074074074074074
906,198529,0,0,136,2,0.0,0.0
907,199299,0,0,194,6,0.0,0.0
908,199321,0,0,10540,119,0.0,0.0
909,199330,0,0,90,1,0.0,0.0
910,199369,27,7,8642,157,0.35408470261513536,0.21656050955414013
911,200558,2,3,4472,62,0.10062611806797853,0.08064516129032258
912,200612,0,0,3,1,0.0,0.0
913,201861,0,1,347,17,0.25936599423631124,0.058823529411764705
914,202984,6,10,12182,161,0.11820719093744869,0.09937888198757763
915,203043,11,3,11875,144,0.10610526315789473,0.09722222222222222
916,203378,2,3,1743,57,0.25817555938037867,0.08771929824561403
917,203394,6,7,3907,58,0.2994625031993857,0.22413793103448276
918,203496,18,23,8350,99,0.4419161676646707,0.41414141414141414
919,203516,0,0,787,20,0.0,0.0
920,203617,0,0,2380,32,0.0,0.0
921,203778,0,3,3222,42,0.08379888268156424,0.07142857142857142
922,204097,0,0,102,3,0.0,0.0
923,204102,0,2,2201,26,0.0817810086324398,0.07692307692307693
924,204103,0,2,378,11,0.47619047619047616,0.18181818181818182
925,205503,0,0,1530,27,0.0,0.0
926,205562,7,13,5761,104,0.3124457559451484,0.19230769230769232
927,205569,2,2,3486,61,0.10327022375215146,0.06557377049180328
928,205938,3,0,2224,31,0.12140287769784172,0.0967741935483871
929,206040,1,2,577,21,0.46793760831889075,0.14285714285714285
930,206947,3,5,5683,91,0.12669364772127398,0.08791208791208792
931,207302,0,0,11436,128,0.0,0.0
932,207834,1,3,12267,132,0.029347028613352897,0.030303030303030304
933,207917,3,2,2891,47,0.15565548253199585,0.10638297872340426
934,207922,0,0,173,12,0.0,0.0
935,207924,13,10,6961,113,0.2973710673753771,0.20353982300884957
936,208116,0,1,300,4,0.3,0.25
937,208715,2,2,1831,33,0.19661387220098306,0.12121212121212122
938,208890,7,4,3892,77,0.25436793422404935,0.14285714285714285
939,209513,0,0,180,2,0.0,0.0
940,210143,4,1,1000,25,0.44999999999999996,0.2
941,210153,0,0,1192,16,0.0,0.0
942,211251,16,17,6813,123,0.4359313077939234,0.2682926829268293
943,211389,0,0,2987,37,0.0,0.0
944,211395,0,1,480,13,0.1875,0.07692307692307693
945,212391,46,12,10342,162,0.504737961709534,0.35802469135802467
946,212862,0,0,9360,98,0.0,0.0
947,212867,0,1,909,14,0.09900990099009901,0.07142857142857142
948,212899,0,0,141,6,0.0,0.0
949,213260,15,16,9889,153,0.28213166144200624,0.20261437908496732
950,213595,0,0,339,7,0.0,0.0
951,213670,1,1,4768,58,0.037751677852348994,0.034482758620689655
952,213841,0,0,623,8,0.0,0.0
953,214316,21,10,4959,92,0.5626134301270418,0.33695652173913043
954,214775,7,11,5104,108,0.317398119122257,0.16666666666666666
955,216240,3,11,7448,82,0.16917293233082709,0.17073170731707318
956,216463,0,0,468,10,0.0,0.0
957,216464,14,6,2986,57,0.6028131279303416,0.3508771929824561
958,216569,2,1,1452,26,0.1859504132231405,0.11538461538461539
959,216870,1,1,8403,106,0.021420921099607283,0.018867924528301886
960,217144,0,3,1699,29,0.15891701000588582,0.10344827586206896
961,217149,0,0,123,2,0.0,0.0
962,217728,10,4,3112,42,0.40488431876606684,0.3333333333333333
963,217886,0,1,776,18,0.11597938144329897,0.05555555555555555
964,218118,0,0,334,8,0.0,0.0
965,221025,9,5,7154,109,0.17612524461839532,0.12844036697247707
966,221150,1,4,15642,173,0.028768699654775604,0.028901734104046242
967,221309,12,14,8006,105,0.29228078940794405,0.24761904761904763
968,221315,0,2,3449,46,0.05218904030153668,0.043478260869565216
969,221316,22,38,13307,226,0.40580145787931166,0.26548672566371684
970,221321,4,0,5088,58,0.07075471698113207,0.06896551724137931
971,221322,6,27,19364,232,0.15337740136335468,0.14224137931034483
972,221899,26,12,8504,128,0.4021636876763876,0.296875
973,221986,0,3,1574,31,0.17153748411689962,0.0967741935483871
974,222571,0,0,67,4,0.0,0.0
975,223053,1,2,7287,105,0.03705228489090161,0.02857142857142857
976,223068,10,9,5889,83,0.29037187977585327,0.2289156626506024
977,223073,0,0,114,3,0.0,0.0
978,223560,4,2,1169,25,0.4619332763045338,0.24
979,223725,37,18,9639,176,0.5135387488328664,0.3125
980,223779,0,0,4,1,0.0,0.0
981,223781,0,0,4,1,0.0,0.0
982,223890,0,2,2539,34,0.07089405277668373,0.058823529411764705
983,224884,0,0,109,2,0.0,0.0
984,225015,1,0,3737,51,0.024083489430024082,0.0196078431372549
985,225020,7,2,1441,51,0.5621096460791117,0.17647058823529413
986,225122,28,27,10070,145,0.49155908639523344,0.3793103448275862
987,225452,0,0,594,19,0.0,0.0
988,225462,1,0,3447,59,0.02610966057441253,0.01694915254237288
989,225593,12,6,4194,69,0.38626609442060084,0.2608695652173913
990,226005,0,0,24,1,0.0,0.0
991,226006,0,0,1023,12,0.0,0.0
992,226012,0,0,14580,157,0.0,0.0
993,226074,5,8,4298,74,0.27221963704048396,0.17567567567567569
994,227081,5,1,2511,47,0.2150537634408602,0.1276595744680851
995,227805,0,0,6795,76,0.0,0.0
996,227961,31,10,7932,123,0.46520423600605143,0.3333333333333333
997,228584,1,3,4301,54,0.08370146477563357,0.07407407407407407
998,228761,11,21,8196,123,0.3513909224011713,0.2601626016260163
999,228917,2,7,8636,117,0.0937934228809634,0.07692307692307693
1000,229004,0,0,95,5,0.0,0.0
1001,229604,0,0,16962,183,0.0,0.0
1002,229804,11,4,13031,165,0.1035991098150564,0.09090909090909091
1003,230222,1,0,439,5,0.20501138952164008,0.2
1004,230541,1,2,1118,26,0.24150268336314848,0.11538461538461539
1005,230784,16,7,10627,163,0.19478686364919545,0.1411042944785276
1006,230895,0,0,90,1,0.0,0.0
1007,231572,2,6,5190,82,0.13872832369942195,0.0975609756097561
1008,232271,3,4,2099,35,0.3001429252024774,0.2
