club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
1032,fc-reading,Fc Reading,GB1,33.66,26,25.9,12,46.2,6,Select Car Leasing Stadium,24161,+£8.37m,Brian McDermott,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
2323,orduspor,Orduspor,TR1,,0,,0,,0,19 Eylül Stadyum,11024,+-0,Héctor Cúper,https://www.transfermarkt.co.uk/orduspor/startseite/verein/2323
1387,acn-siena-1904,Acn Siena 1904,IT1,4.32,30,26.2,6,20.0,2,Artemio Franchi,15373,£-6Th.,Serse Cosmi,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
1071,wigan-athletic,Wigan Athletic,GB1,12.38,29,26.5,14,48.3,6,DW Stadium,25133,£-140Th.,Roberto Martínez,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
2703,spartak-vladikavkaz,Spartak Vladikavkaz,RU1,,1,20.0,0,,0,Republican Stadium Spartak,32464,+-0,Vladimir Gazzaev,https://www.transfermarkt.co.uk/spartak-vladikavkaz/startseite/verein/2703
142,real-saragossa,Real Saragossa,ES1,22.86,24,26.6,5,20.8,0,La Romareda,33068,+-0,Manolo Jiménez,https://www.transfermarkt.co.uk/real-saragossa/startseite/verein/142
566,beerschot-ac,Beerschot Ac,BE1,,0,,0,,0,Olympisch Stadion,12771,+-0,Adrie Koster,https://www.transfermarkt.co.uk/beerschot-ac/startseite/verein/566
1436,sc-beira-mar,Sc Beira Mar,PO1,135.0,22,27.5,9,40.9,0,Estádio Mário Duarte,12000,+-0,Ulisses Morais,https://www.transfermarkt.co.uk/sc-beira-mar/startseite/verein/1436
4750,sc-olhanense,Sc Olhanense,PO1,68.0,22,24.1,9,40.9,0,Estádio José Arcanjo,10080,+-0,Abel Xavier,https://www.transfermarkt.co.uk/sc-olhanense/startseite/verein/4750
23,eintracht-braunschweig,Eintracht Braunschweig,L1,6.48,27,24.9,3,11.1,0,EINTRACHT-Stadion,23325,+-0,Torsten Lieberknecht,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
2227,sk-tavriya-simferopol,Sk Tavriya Simferopol,UKR1,,0,,0,,0,RS Lokomotiv,19978,+-0,Giannis Christopoulos,https://www.transfermarkt.co.uk/sk-tavriya-simferopol/startseite/verein/2227
12438,volga-nizhniy-novgorod,Volga Nizhniy Novgorod,RU1,,0,,0,,0,Zentralstadion Lokomotiv,17856,+-0,Yuriy Kalitvintsev,https://www.transfermarkt.co.uk/volga-nizhniy-novgorod/startseite/verein/12438
2292,elazigspor,Elazigspor,TR1,563.0,40,23.2,0,,0,Elazığ Doğukent Stadı,2500,+£44Th.,Trond Sollied,https://www.transfermarkt.co.uk/elazigspor/startseite/verein/2292
1210,as-livorno,As Livorno,IT1,225.0,25,27.0,0,,0,Armando Picchi,19238,+-0,Davide Nicola,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
1627,catania-calcio,Catania Calcio,IT1,6.56,25,26.8,5,20.0,0,Cibali - Angelo Massimino,20016,+-0,Rolando Maran,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627
16245,fk-sevastopol,Fk Sevastopol,UKR1,,0,,0,,0,SK Sevastopol,5826,+-0,Oleg Kononov,https://www.transfermarkt.co.uk/fk-sevastopol/startseite/verein/16245
